Entry	Status	Protein names	Gene names  (primary )	Gene names	Annotation	Keywords	Gene ontology (cellular component)
A0A3Q0D7Z6	unreviewed	gamma-aminobutyric acid receptor subunit alpha-2	Gabra2	Gabra2	2 out of 5	Cell membrane;Disulfide bond;Ion channel;Ion transport;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0DCL0	unreviewed	desmoglein-1	Dsg1	Dsg1	2 out of 5	Calcium;Cell adhesion;Cell membrane;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0CKG2	unreviewed	Voltage-dependent L-type calcium channel subunit alpha	Cacna1c	Cacna1c	2 out of 5	Calcium;Calcium channel;Calcium transport;Coiled coil;Ion channel;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	voltage-gated calcium channel complex [GO:0005891]
A0A1U7QD27	unreviewed	Olfactory receptor	LOC101837531	LOC101837531	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QT23	unreviewed	olfactory receptor 52D1-like	LOC101833254	LOC101833254	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8BVL6	unreviewed	Thyrotropin receptor	Tshr	Tshr TSHR	2 out of 5	Cell membrane;G-protein coupled receptor;Leucine-rich repeat;Membrane;Receptor;Reference proteome;Repeat;Signal;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8C847	unreviewed	Olfactory receptor	LOC101826622	LOC101826622	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7RFR9	unreviewed	Vomeronasal type-1 receptor	LOC101827907	LOC101827907	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Pheromone response;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CBK8	unreviewed	Olfactory receptor	LOC101843326	LOC101843326	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7RDX3	unreviewed	Olfactory receptor	LOC101842214	LOC101842214	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QCQ1	unreviewed	Pendrin (Sodium-independent chloride/iodide transporter) (Solute carrier family 26 member 4)	Slc26a4	Slc26a4	2 out of 5	Chloride;Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]
A0A3Q0CZR7	unreviewed	Gap junction protein	Gja3	Gja3	2 out of 5	Cell junction;Cell membrane;Gap junction;Membrane;Reference proteome;Transmembrane;Transmembrane helix	connexin complex [GO:0005922]; integral component of membrane [GO:0016021]
A0A1U7Q9M0	unreviewed	LIM domain-binding protein 2 isoform X1	Ldb2	Ldb2	2 out of 5	Reference proteome	cell leading edge [GO:0031252]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; transcription factor complex [GO:0005667]
A0A1U7QND7	unreviewed	protocadherin-18 isoform X2	Pcdh18	Pcdh18	2 out of 5	Calcium;Cell adhesion;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QWD4	unreviewed	Olfactory receptor	LOC101823881	LOC101823881	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QMH8	unreviewed	cytokine receptor-like factor 3	Crlf3	Crlf3	2 out of 5	Coiled coil;Receptor;Reference proteome	cytosol [GO:0005829]; plasma membrane [GO:0005886]
A0A1U8C9Q0	unreviewed	brother of CDO isoform X1	Boc	Boc	2 out of 5	Immunoglobulin domain;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U7R119	unreviewed	Olfactory receptor	LOC101823682	LOC101823682	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QS53	unreviewed	gametogenetin-binding protein 1-like	LOC101838008	LOC101838008	1 out of 5	Reference proteome	Golgi apparatus [GO:0005794]; mitochondrial intermembrane space [GO:0005758]; plasma membrane [GO:0005886]
A0A1U7Q3X8	unreviewed	myosin-9	Myh9	Myh9	5 out of 5	ATP-binding;Actin-binding;Coiled coil;Motor protein;Myosin;Nucleotide-binding;Reference proteome	actomyosin contractile ring [GO:0005826]; adherens junction [GO:0005912]; brush border [GO:0005903]; cell [GO:0005623]; cleavage furrow [GO:0032154]; COP9 signalosome [GO:0008180]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; immunological synapse [GO:0001772]; myosin II complex [GO:0016460]; myosin II filament [GO:0097513]; neuromuscular junction [GO:0031594]; ruffle [GO:0001726]; spindle [GO:0005819]; stress fiber [GO:0001725]; uropod [GO:0001931]
Q6PYT9	unreviewed	Gap junction protein	Cx31	Cx31 connexin31 Gjb3	3 out of 5	Cell junction;Cell membrane;Gap junction;Membrane;Reference proteome;Transmembrane;Transmembrane helix	connexin complex [GO:0005922]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]
A0A1U7Q8M9	unreviewed	glutamate receptor 1 isoform X2	Gria1	Gria1	3 out of 5	Cell junction;Cell membrane;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport	AMPA glutamate receptor complex [GO:0032281]; axonal spine [GO:0044308]; cell surface [GO:0009986]; dendritic spine membrane [GO:0032591]; endoplasmic reticulum [GO:0005783]; excitatory synapse [GO:0060076]; glutamatergic synapse [GO:0098978]; integral component of postsynaptic density membrane [GO:0099061]; neuronal cell body [GO:0043025]; recycling endosome [GO:0055037]; synaptic vesicle [GO:0008021]
A0A1U8BYR3	unreviewed	phosphatidylinositide phosphatase SAC2 isoform X1	Inpp5f	Inpp5f	3 out of 5	Coiled coil;Reference proteome	axon [GO:0030424]; clathrin-coated endocytic vesicle [GO:0045334]; clathrin-coated pit [GO:0005905]; dendrite [GO:0030425]; early endosome [GO:0005769]; intracellular membrane-bounded organelle [GO:0043231]; neuronal cell body [GO:0043025]; recycling endosome [GO:0055037]
A0A1U7RGE6	unreviewed	vomeronasal type-2 receptor 116-like	LOC101840239	LOC101840239	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QVL9	unreviewed	integrin alpha-11	Itga11	Itga11	2 out of 5	Cell adhesion;Integrin;Membrane;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	focal adhesion [GO:0005925]; integrin alpha11-beta1 complex [GO:0034681]
A0A1U7QWN3	unreviewed	huntingtin-interacting protein 1-related protein	Hip1r	Hip1r	4 out of 5	Coiled coil;Reference proteome	apical plasma membrane [GO:0016324]; cell cortex [GO:0005938]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; ruffle membrane [GO:0032587]
A0A1U7QC06	unreviewed	olfactory receptor 2AG2-like	LOC101826534	LOC101826534	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7Q4U1	unreviewed	Muscarinic acetylcholine receptor	Chrm1	Chrm1	3 out of 5	Cell junction;Cell membrane;G-protein coupled receptor;Membrane;Postsynaptic cell membrane;Receptor;Reference proteome;Synapse;Transducer;Transmembrane;Transmembrane helix	cholinergic synapse [GO:0098981]; integral component of postsynaptic membrane [GO:0099055]; Schaffer collateral - CA1 synapse [GO:0098685]
A0A1U7QQB7	unreviewed	myopalladin isoform X2	Mypn	Mypn	2 out of 5	Immunoglobulin domain;Reference proteome	plasma membrane [GO:0005886]; Z disc [GO:0030018]
A0A1U7RFD8	unreviewed	vesicle-associated membrane protein 7	Vamp7	Vamp7	3 out of 5	Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	apical part of cell [GO:0045177]; azurophil granule membrane [GO:0035577]; cell surface [GO:0009986]; integral component of membrane [GO:0016021]; lamellipodium [GO:0030027]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; pseudopodium [GO:0031143]; SNARE complex [GO:0031201]; trans-Golgi network [GO:0005802]; transport vesicle [GO:0030133]
A0A1U7QKH6	unreviewed	Olfactory receptor	LOC101835073	LOC101835073	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CIC1	unreviewed	Gap junction protein	Gja5	Gja5	5 out of 5	Cell junction;Cell membrane;Gap junction;Membrane;Reference proteome;Transmembrane;Transmembrane helix	connexin complex [GO:0005922]; integral component of plasma membrane [GO:0005887]; intercalated disc [GO:0014704]
A0A3Q0DC18	unreviewed	nexilin isoform X2	Nexn	Nexn	1 out of 5	Coiled coil;Immunoglobulin domain;Reference proteome	plasma membrane [GO:0005886]
A0A1U7QDF5	unreviewed	Adenylate cyclase (EC 4.6.1.1)	Adcy5	Adcy5	4 out of 5	ATP-binding;Coiled coil;Lyase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix;cAMP biosynthesis	cell [GO:0005623]; cilium [GO:0005929]; integral component of membrane [GO:0016021]; intermediate filament cytoskeleton [GO:0045111]; plasma membrane [GO:0005886]
A0A1U8CWC4	unreviewed	Olfactory receptor	LOC106022449	LOC106022449	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8C0G4	unreviewed	Olfactory receptor	LOC101844927	LOC101844927	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QC78	unreviewed	Olfactory receptor	LOC101825100	LOC101825100	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QBA5	unreviewed	Amine oxidase (EC 1.4.3.-)	LOC101827582	LOC101827582	3 out of 5	Copper;Metal-binding;Oxidoreductase;Reference proteome;TPQ	cell surface [GO:0009986]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; microvillus [GO:0005902]; plasma membrane [GO:0005886]
A0A3Q0CUZ0	unreviewed	teneurin-2	Tenm2	Tenm2	2 out of 5	Disulfide bond;EGF-like domain;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U7QG65	unreviewed	desmocollin-1 isoform X1	Dsc1	Dsc1	2 out of 5	Calcium;Cell adhesion;Cell membrane;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QI27	unreviewed	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	Uchl1	Uchl1	4 out of 5	Hydrolase;Protease;Reference proteome;Thiol protease;Ubl conjugation pathway	axon cytoplasm [GO:1904115]; cytosol [GO:0005829]; neuronal cell body [GO:0043025]; neuron projection terminus [GO:0044306]; plasma membrane [GO:0005886]
A0A1U8BTZ5	unreviewed	Olfactory receptor	LOC101831291	LOC101831291	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QUX4	unreviewed	Vacuolar proton pump subunit B (V-ATPase subunit B) (Vacuolar proton pump subunit B)	Atp6v1b2	Atp6v1b2	2 out of 5	Hydrogen ion transport;Ion transport;Reference proteome;Transport	apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; microvillus [GO:0005902]; proton-transporting V-type ATPase, V1 domain [GO:0033180]; ruffle [GO:0001726]
A0A1U7QBI1	unreviewed	AH receptor-interacting protein	Aip	Aip	2 out of 5	Receptor;Reference proteome;TPR repeat	aryl hydrocarbon receptor complex [GO:0034751]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
A0A1U7QJN5	unreviewed	Olfactory receptor	LOC101824328	LOC101824328	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8CQF3	unreviewed	Vomeronasal type-1 receptor	LOC106022665	LOC106022665	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Pheromone response;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QAH0	unreviewed	olfactory receptor 2AK2	LOC101834084	LOC101834084	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QFQ0	unreviewed	Olfactory receptor	LOC101837483	LOC101837483	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A3Q0CXU8	unreviewed	B- and T-lymphocyte attenuator isoform X3	Btla	Btla	1 out of 5	Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U7QH41	unreviewed	Clathrin light chain	Clta	Clta	2 out of 5	Coated pit;Coiled coil;Cytoplasmic vesicle;Membrane;Reference proteome	clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]
A0A1U8C0T3	unreviewed	cadherin-related family member 5 isoform X1	Cdhr5	Cdhr5	2 out of 5	Calcium;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7RF22	unreviewed	dual serine/threonine and tyrosine protein kinase	Dstyk	Dstyk	2 out of 5	Coiled coil;Kinase;Reference proteome;Transferase	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]
A0A1U7RGG1	unreviewed	Vomeronasal type-1 receptor	LOC101825541	LOC101825541	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Pheromone response;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QUA0	unreviewed	cell division control protein 42 homolog isoform X1	Cdc42	Cdc42	5 out of 5	Cell cycle;Cell division;GTP-binding;Nucleotide-binding;Reference proteome	apical part of cell [GO:0045177]; cell-cell junction [GO:0005911]; centrosome [GO:0005813]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; filopodium [GO:0030175]; Golgi transport complex [GO:0017119]; leading edge membrane [GO:0031256]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; neuronal cell body [GO:0043025]; phagocytic vesicle [GO:0045335]; spindle midzone [GO:0051233]; storage vacuole [GO:0000322]
A0A3Q0DB03	unreviewed	solute carrier family 12 member 5	Slc12a5	Slc12a5	1 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]; synapse [GO:0045202]
A0A1U8BG63	unreviewed	beta-3 adrenergic receptor	Adrb3	Adrb3	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R5S0	unreviewed	Protein tweety homolog	Ttyh3	Ttyh3	2 out of 5	Chloride;Chloride channel;Ion channel;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	chloride channel complex [GO:0034707]; plasma membrane [GO:0005886]
A0A1U7R3H3	unreviewed	Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)	Katnb1	Katnb1 KATNB1	4 out of 5	Cell cycle;Cell division;Cytoplasm;Cytoskeleton;Microtubule;Mitosis;Reference proteome;WD repeat	axon [GO:0030424]; cell [GO:0005623]; centrosome [GO:0005813]; cytosol [GO:0005829]; katanin complex [GO:0008352]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; spindle pole [GO:0000922]
A0A1U7QQM7	unreviewed	reversion-inducing cysteine-rich protein with Kazal motifs isoform X2	Reck	Reck	2 out of 5	Reference proteome;Signal	plasma membrane [GO:0005886]; Wnt signalosome [GO:1990909]
A0A1U8CMD9	unreviewed	potassium voltage-gated channel subfamily C member 3 isoform X7	Kcnc3	Kcnc3	2 out of 5	Coiled coil;Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel	voltage-gated potassium channel complex [GO:0008076]
A0A1U8D0D6	unreviewed	Olfactory receptor	LOC101828348	LOC101828348	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R1C5	unreviewed	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	Dgkq	Dgkq	5 out of 5	ATP-binding;Kinase;Metal-binding;Nucleotide-binding;Reference proteome;Transferase;Zinc;Zinc-finger	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endosome [GO:0005768]; glutamatergic synapse [GO:0098978]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793]; vesicle membrane [GO:0012506]
A0A3Q0D093	unreviewed	B-cell differentiation antigen CD72 isoform X1	Cd72	Cd72	1 out of 5	Membrane;Reference proteome;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U7QAR9	unreviewed	protein ECT2 isoform X1	Ect2	Ect2	3 out of 5	Guanine-nucleotide releasing factor;Reference proteome	bicellular tight junction [GO:0005923]; centralspindlin complex [GO:0097149]; cleavage furrow [GO:0032154]; cytosol [GO:0005829]; midbody [GO:0030496]; nuclear body [GO:0016604]
A0A1U7Q730	unreviewed	calcineurin B homologous protein 1	Chp1	Chp1	2 out of 5	Calcium;Reference proteome	cell [GO:0005623]; plasma membrane [GO:0005886]
A0A1U7R2M8	unreviewed	Olfactory receptor	LOC101823039	LOC101823039	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QPR3	unreviewed	Olfactory receptor	LOC101823942	LOC101823942	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QS83	unreviewed	ADP-ribosylation factor 5	Arf5	Arf5	1 out of 5	Coiled coil;GTP-binding;Nucleotide-binding;Reference proteome	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
A0A1U7QCT3	unreviewed	Anthrax toxin receptor	Antxr1	Antxr1	4 out of 5	Coiled coil;Disulfide bond;Membrane;Metal-binding;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	external side of plasma membrane [GO:0009897]; filopodium membrane [GO:0031527]; integral component of membrane [GO:0016021]; lamellipodium membrane [GO:0031258]
A0A1U8C0S2	unreviewed	olfactory receptor 4D1-like	LOC101835512	LOC101835512	2 out of 5	Cell membrane;Coiled coil;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QS66	unreviewed	Olfactory receptor	LOC101841475	LOC101841475	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8BGD7	unreviewed	high affinity immunoglobulin epsilon receptor subunit beta	Ms4a2	Ms4a2	1 out of 5	Membrane;Receptor;Reference proteome;Transmembrane;Transmembrane helix	Fc-epsilon receptor I complex [GO:0032998]; integral component of plasma membrane [GO:0005887]
A0A1U7QML4	unreviewed	olfactory receptor 958-like	LOC101824945	LOC101824945	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QPI0	unreviewed	protein ABHD17A isoform X1	Abhd17a	Abhd17a	1 out of 5	Reference proteome	endosome membrane [GO:0010008]; plasma membrane [GO:0005886]
A0A1U7Q3F0	unreviewed	Sorting nexin	Snx18	Snx18	3 out of 5	Cytoplasmic vesicle;Membrane;Reference proteome;SH3 domain	clathrin-coated vesicle [GO:0030136]; cytoplasmic vesicle membrane [GO:0030659]; extracellular exosome [GO:0070062]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]
A0A1U7QGG5	unreviewed	BDNF/NT-3 growth factors receptor isoform X2	Ntrk2	Ntrk2	2 out of 5	Disulfide bond;Leucine-rich repeat;Membrane;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix	integral component of plasma membrane [GO:0005887]
A0A1U8CAY7	unreviewed	Olfactory receptor	LOC101825675	LOC101825675	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QP34	unreviewed	Olfactory receptor	LOC101830903	LOC101830903	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QAC7	unreviewed	Olfactory receptor	LOC101838697	LOC101838697	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QN86	unreviewed	Olfactory receptor	LOC101824623	LOC101824623	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7R1T1	unreviewed	Protein kinase C (EC 2.7.11.13)	Prkcz	Prkcz	5 out of 5	ATP-binding;Kinase;Metal-binding;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase;Zinc;Zinc-finger	apical cortex [GO:0045179]; apical plasma membrane [GO:0016324]; axon hillock [GO:0043203]; bicellular tight junction [GO:0005923]; cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; myelin sheath abaxonal region [GO:0035748]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; vesicle [GO:0031982]
A0A1U7QYV1	unreviewed	nephronectin isoform X1	Npnt	Npnt	3 out of 5	Disulfide bond;EGF-like domain;Reference proteome;Repeat;Signal	basement membrane [GO:0005604]; integrin alpha8-beta1 complex [GO:0034678]; smooth muscle contractile fiber [GO:0030485]
A0A1U7Q7D5	unreviewed	Olfactory receptor	LOC101836496	LOC101836496	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8BXL2	unreviewed	Olfactory receptor	LOC101837942	LOC101837942	2 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U8BM71	unreviewed	LOW QUALITY PROTEIN: olfactory receptor 149-like	LOC101841703	LOC101841703	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7RBJ5	unreviewed	ectonucleoside triphosphate diphosphohydrolase 2	Entpd2	Entpd2	2 out of 5	ATP-binding;Hydrolase;Membrane;Nucleotide-binding;Reference proteome;Signal;Transmembrane;Transmembrane helix	basement membrane [GO:0005604]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QV96	unreviewed	olfactory receptor 6C1-like	LOC101825247	LOC101825247	1 out of 5	Cell membrane;G-protein coupled receptor;Membrane;Olfaction;Receptor;Reference proteome;Sensory transduction;Transducer;Transmembrane;Transmembrane helix	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
A0A1U7QTX5	unreviewed	GTPase KRas isoform X1	Kras	Kras	3 out of 5	GTP-binding;Nucleotide-binding;Reference proteome	cytoplasm [GO:0005737]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]
