GeneID	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
55248	Q9H813	PACC1_HUMAN	reviewed	Proton-activated chloride channel (PAC) (hPAC) (Acid-sensitive outwardly-rectifying anion channel) (ASOR) (Proton-activated outwardly rectifying anion channel) (PAORAC) (Transmembrane protein 206) (hTMEM206)	PACC1 C1orf75 TMEM206	Homo sapiens (Human)	350	chloride transport [GO:0006821]	cell surface [GO:0009986]; chloride channel complex [GO:0034707]; integral component of plasma membrane [GO:0005887]	pH-gated chloride channel activity [GO:0061797]
59341	Q9HBA0	TRPV4_HUMAN	reviewed	Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Osm-9-like TRP channel 4) (OTRPC4) (Transient receptor potential protein 12) (TRP12) (Vanilloid receptor-like channel 2) (Vanilloid receptor-like protein 2) (VRL-2) (Vanilloid receptor-related osmotically-activated channel) (VR-OAC)	TRPV4 VRL2 VROAC	Homo sapiens (Human)	871	actin cytoskeleton reorganization [GO:0031532]; actin filament organization [GO:0007015]; blood vessel endothelial cell delamination [GO:0097497]; calcium ion import [GO:0070509]; calcium ion import into cytosol [GO:1902656]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cartilage development involved in endochondral bone morphogenesis [GO:0060351]; cell-cell junction assembly [GO:0007043]; cellular calcium ion homeostasis [GO:0006874]; cellular hypotonic response [GO:0071476]; cellular hypotonic salinity response [GO:0071477]; cellular response to heat [GO:0034605]; cellular response to osmotic stress [GO:0071470]; cell volume homeostasis [GO:0006884]; cortical microtubule organization [GO:0043622]; diet induced thermogenesis [GO:0002024]; energy homeostasis [GO:0097009]; glucose homeostasis [GO:0042593]; hyperosmotic salinity response [GO:0042538]; microtubule polymerization [GO:0046785]; multicellular organismal water homeostasis [GO:0050891]; negative regulation of brown fat cell differentiation [GO:1903444]; negative regulation of neuron projection development [GO:0010977]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osmosensory signaling pathway [GO:0007231]; positive regulation of chemokine (C-C motif) ligand 5 production [GO:0071651]; positive regulation of chemokine (C-X-C motif) ligand 1 production [GO:2000340]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of macrophage inflammatory protein 1 alpha production [GO:0071642]; positive regulation of microtubule depolymerization [GO:0031117]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of vascular permeability [GO:0043117]; regulation of response to osmotic stress [GO:0047484]; response to insulin [GO:0032868]; response to mechanical stimulus [GO:0009612]; signal transduction involved in regulation of aerobic respiration [GO:1903759]; vasopressin secretion [GO:0030103]	adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; cell [GO:0005623]; cell surface [GO:0009986]; cilium [GO:0005929]; cortical actin cytoskeleton [GO:0030864]; cytoplasmic microtubule [GO:0005881]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; filopodium [GO:0030175]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; lamellipodium [GO:0030027]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]	"actin binding [GO:0003779]; actin filament binding [GO:0051015]; alpha-tubulin binding [GO:0043014]; ATP binding [GO:0005524]; beta-tubulin binding [GO:0048487]; calcium channel activity [GO:0005262]; calmodulin binding [GO:0005516]; cation channel activity [GO:0005261]; identical protein binding [GO:0042802]; ion channel activity [GO:0005216]; lipid binding [GO:0008289]; metal ion binding [GO:0046872]; microtubule binding [GO:0008017]; osmosensor activity [GO:0005034]; protein kinase binding [GO:0019901]; protein kinase C binding [GO:0005080]; SH2 domain binding [GO:0042169]; stretch-activated, cation-selective, calcium channel activity [GO:0015275]"
54542	Q9HBD1	RC3H2_HUMAN	reviewed	Roquin-2 (EC 2.3.2.27) (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2) (RING finger protein 164) (RING-type E3 ubiquitin transferase Roquin-2)	RC3H2 MNAB RNF164	Homo sapiens (Human)	1191	B cell homeostasis [GO:0001782]; limb development [GO:0060173]; lung alveolus development [GO:0048286]; lymph node development [GO:0048535]; multicellular organism growth [GO:0035264]; negative regulation of T-helper 17 cell differentiation [GO:2000320]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; post-embryonic development [GO:0009791]; posttranscriptional regulation of gene expression [GO:0010608]; protein polyubiquitination [GO:0000209]; regulation of miRNA metabolic process [GO:2000628]; spleen development [GO:0048536]; T cell homeostasis [GO:0043029]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]; T follicular helper cell differentiation [GO:0061470]	cell surface [GO:0009986]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; P-body [GO:0000932]	DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; ubiquitin protein ligase activity [GO:0061630]
4063	Q9HBG7	LY9_HUMAN	reviewed	T-lymphocyte surface antigen Ly-9 (Cell surface molecule Ly-9) (Lymphocyte antigen 9) (SLAM family member 3) (SLAMF3) (Signaling lymphocytic activation molecule 3) (CD antigen CD229)	LY9 CDABP0070	Homo sapiens (Human)	655	cell adhesion [GO:0007155]; innate immune response [GO:0045087]; positive regulation of interleukin-17 production [GO:0032740]; T-helper 17 cell lineage commitment [GO:0072540]	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	
7145	Q9HBL0	TENS1_HUMAN	reviewed	Tensin-1	TNS1 TNS	Homo sapiens (Human)	1735	cell-substrate junction assembly [GO:0007044]; fibroblast migration [GO:0010761]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]	actin binding [GO:0003779]; RNA binding [GO:0003723]
9170	Q9HBW0	LPAR2_HUMAN	reviewed	Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4)	LPAR2 EDG4 LPA2	Homo sapiens (Human)	351	activation of phospholipase C activity [GO:0007202]; G protein-coupled receptor signaling pathway [GO:0007186]; positive regulation of cytosolic calcium ion concentration [GO:0007204]	cell [GO:0005623]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; lipid binding [GO:0008289]; lysophosphatidic acid receptor activity [GO:0070915]
64127	Q9HC29	NOD2_HUMAN	reviewed	Nucleotide-binding oligomerization domain-containing protein 2 (Caspase recruitment domain-containing protein 15) (Inflammatory bowel disease protein 1)	NOD2 CARD15 IBD1	Homo sapiens (Human)	1040	activation of MAPK activity [GO:0000187]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to muramyl dipeptide [GO:0071225]; cellular response to organic cyclic compound [GO:0071407]; cellular response to peptidoglycan [GO:0071224]; cytokine production involved in immune response [GO:0002367]; cytokine secretion involved in immune response [GO:0002374]; defense response [GO:0006952]; defense response to bacterium [GO:0042742]; detection of bacterium [GO:0016045]; detection of biotic stimulus [GO:0009595]; detection of muramyl dipeptide [GO:0032498]; innate immune response [GO:0045087]; interleukin-1-mediated signaling pathway [GO:0070498]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of macrophage apoptotic process [GO:2000110]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; positive regulation of B cell activation [GO:0050871]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of dendritic cell antigen processing and presentation [GO:0002606]; positive regulation of dendritic cell cytokine production [GO:0002732]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gamma-delta T cell activation [GO:0046645]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 beta secretion [GO:0050718]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of oxidoreductase activity [GO:0051353]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of prostaglandin-endoperoxide synthase activity [GO:0060585]; positive regulation of prostaglandin-E synthase activity [GO:2000363]; positive regulation of protein K63-linked ubiquitination [GO:1902523]; positive regulation of stress-activated MAPK cascade [GO:0032874]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type 2 immune response [GO:0002830]; regulation of inflammatory response [GO:0050727]; response to muramyl dipeptide [GO:0032495]; response to nutrient [GO:0007584]	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; vesicle [GO:0031982]	actin binding [GO:0003779]; ATP binding [GO:0005524]; CARD domain binding [GO:0050700]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; muramyl dipeptide binding [GO:0032500]; peptidoglycan binding [GO:0042834]; protein-containing complex binding [GO:0044877]; protein kinase binding [GO:0019901]
64109	Q9HC73	CRLF2_HUMAN	reviewed	Cytokine receptor-like factor 2 (Cytokine receptor-like 2) (IL-XR) (Thymic stromal lymphopoietin protein receptor) (TSLP receptor)	CRLF2 CRL2 ILXR TSLPR	Homo sapiens (Human)	371	cytokine-mediated signaling pathway [GO:0019221]; interleukin-7-mediated signaling pathway [GO:0038111]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of interleukin-5 secretion [GO:2000664]; positive regulation of mast cell activation [GO:0033005]; positive regulation of receptor signaling pathway via STAT [GO:1904894]	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; interleukin-2 binding [GO:0019976]
6092	Q9HCK4	ROBO2_HUMAN	reviewed	Roundabout homolog 2	ROBO2 KIAA1568	Homo sapiens (Human)	1378	aorta development [GO:0035904]; aortic valve morphogenesis [GO:0003180]; apoptotic process involved in luteolysis [GO:0061364]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; brain development [GO:0007420]; cellular response to hormone stimulus [GO:0032870]; central nervous system development [GO:0007417]; endocardial cushion formation [GO:0003272]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; metanephros development [GO:0001656]; negative regulation of negative chemotaxis [GO:0050925]; negative regulation of synapse assembly [GO:0051964]; olfactory bulb interneuron development [GO:0021891]; outflow tract septum morphogenesis [GO:0003148]; positive regulation of axonogenesis [GO:0050772]; positive regulation of Notch signaling pathway involved in heart induction [GO:0035481]; pulmonary valve morphogenesis [GO:0003184]; retinal ganglion cell axon guidance [GO:0031290]; spinal cord development [GO:0021510]; ureteric bud development [GO:0001657]; ventricular septum morphogenesis [GO:0060412]	axolemma [GO:0030673]; cell surface [GO:0009986]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	axon guidance receptor activity [GO:0008046]; identical protein binding [GO:0042802]
51206	Q9HCN6	GPVI_HUMAN	reviewed	Platelet glycoprotein VI (GPVI) (Glycoprotein 6)	GP6	Homo sapiens (Human)	339	blood coagulation [GO:0007596]; enzyme linked receptor protein signaling pathway [GO:0007167]; leukocyte migration [GO:0050900]; platelet activation [GO:0030168]	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; tetraspanin-enriched microdomain [GO:0097197]	collagen binding [GO:0005518]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]
27006	Q9HCT0	FGF22_HUMAN	reviewed	Fibroblast growth factor 22 (FGF-22)	FGF22 UNQ2500/PRO5800	Homo sapiens (Human)	170	cell differentiation [GO:0030154]; fibroblast growth factor receptor signaling pathway [GO:0008543]; MAPK cascade [GO:0000165]; positive regulation of protein kinase B signaling [GO:0051897]	cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nucleolus [GO:0005730]	fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]
57124	Q9HCU0	CD248_HUMAN	reviewed	Endosialin (Tumor endothelial marker 1) (CD antigen CD248)	CD248 CD164L1 TEM1	Homo sapiens (Human)	757	anatomical structure regression [GO:0060033]; cell migration [GO:0016477]; lymph node development [GO:0048535]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell apoptotic process [GO:2000353]	cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; integral component of membrane [GO:0016021]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; extracellular matrix binding [GO:0050840]; extracellular matrix protein binding [GO:1990430]
57136	Q9HDC9	APMAP_HUMAN	reviewed	Adipocyte plasma membrane-associated protein (Protein BSCv)	APMAP C20orf3 UNQ1869/PRO4305	Homo sapiens (Human)	416	biosynthetic process [GO:0009058]	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	arylesterase activity [GO:0004064]; strictosidine synthase activity [GO:0016844]
30835	Q9NNX6	CD209_HUMAN	reviewed	CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1) (DC-SIGN) (DC-SIGN1) (CD antigen CD209)	CD209 CLEC4L	Homo sapiens (Human)	404	adaptive immune response [GO:0002250]; antigen processing and presentation [GO:0019882]; B cell adhesion [GO:0097323]; cell-cell recognition [GO:0009988]; endocytosis [GO:0006897]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intracellular transport of virus [GO:0075733]; leukocyte cell-cell adhesion [GO:0007159]; modulation by virus of host morphology or physiology [GO:0019048]; peptide antigen transport [GO:0046968]; positive regulation of T cell proliferation [GO:0042102]; regulation of T cell proliferation [GO:0042129]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; viral genome replication [GO:0019079]; virion attachment to host cell [GO:0019062]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; host cell [GO:0043657]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	carbohydrate binding [GO:0030246]; mannose binding [GO:0005537]; metal ion binding [GO:0046872]; peptide antigen binding [GO:0042605]; virion binding [GO:0046790]; virus receptor activity [GO:0001618]
51330	Q9NP84	TNR12_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 12A (Fibroblast growth factor-inducible immediate-early response protein 14) (FGF-inducible 14) (Tweak-receptor) (TweakR) (CD antigen CD266)	TNFRSF12A FN14	Homo sapiens (Human)	129	"angiogenesis [GO:0001525]; extrinsic apoptotic signaling pathway [GO:0097191]; positive regulation of apoptotic process [GO:0043065]; positive regulation of axon extension [GO:0045773]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; regulation of angiogenesis [GO:0045765]; regulation of wound healing [GO:0061041]; substrate-dependent cell migration, cell attachment to substrate [GO:0006931]; tumor necrosis factor-mediated signaling pathway [GO:0033209]"	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ruffle [GO:0001726]	
51554	Q9NPB9	ACKR4_HUMAN	reviewed	Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR)	ACKR4 CCBP2 CCR11 CCRL1 VSHK1	Homo sapiens (Human)	350	calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; positive regulation of cytosolic calcium ion concentration [GO:0007204]	cell [GO:0005623]; early endosome [GO:0005769]; external side of plasma membrane [GO:0009897]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine binding [GO:0019956]; chemokine receptor activity [GO:0004950]; scavenger receptor activity [GO:0005044]
7976	Q9NPG1	FZD3_HUMAN	reviewed	Frizzled-3 (Fz-3) (hFz3)	FZD3	Homo sapiens (Human)	666	"canonical Wnt signaling pathway [GO:0060070]; cell proliferation in midbrain [GO:0033278]; commissural neuron axon guidance [GO:0071679]; dopaminergic neuron axon guidance [GO:0036514]; establishment of planar polarity [GO:0001736]; hair follicle development [GO:0001942]; inner ear morphogenesis [GO:0042472]; midbrain morphogenesis [GO:1904693]; negative regulation of execution phase of apoptosis [GO:1900118]; negative regulation of mitotic cell cycle, embryonic [GO:0045976]; neural tube closure [GO:0001843]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; planar cell polarity pathway involved in axon guidance [GO:1904938]; positive regulation of neuroblast proliferation [GO:0002052]; post-anal tail morphogenesis [GO:0036342]; response to drug [GO:0042493]; response to electrical stimulus [GO:0051602]; serotonergic neuron axon guidance [GO:0036515]; sympathetic ganglion development [GO:0061549]; Wnt signaling pathway, calcium modulating pathway [GO:0007223]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]"	apical plasma membrane [GO:0016324]; axon [GO:0030424]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; filopodium tip [GO:0032433]; integral component of membrane [GO:0016021]; lateral plasma membrane [GO:0016328]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; presynaptic active zone [GO:0048786]	G protein-coupled receptor activity [GO:0004930]; PDZ domain binding [GO:0030165]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]
22918	Q9NPY3	C1QR1_HUMAN	reviewed	Complement component C1q receptor (C1q/MBL/SPA receptor) (C1qR) (C1qR(p)) (C1qRp) (CDw93) (Complement component 1 q subcomponent receptor 1) (Matrix-remodeling-associated protein 4) (CD antigen CD93)	CD93 C1QR1 MXRA4	Homo sapiens (Human)	652	cell-cell adhesion [GO:0098609]; macrophage activation [GO:0042116]; neutrophil degranulation [GO:0043312]; phagocytosis [GO:0006909]; viral process [GO:0016032]	cell surface [GO:0009986]; ficolin-1-rich granule membrane [GO:0101003]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; complement component C1q complex binding [GO:0001849]; signaling receptor activity [GO:0038023]; transforming growth factor beta binding [GO:0050431]
57758	Q9NQ36	SCUB2_HUMAN	reviewed	"Signal peptide, CUB and EGF-like domain-containing protein 2 (Protein CEGP1) (Scube/You)"	SCUBE2 CEGP1	Homo sapiens (Human)	999	multicellular organism development [GO:0007275]	cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	calcium ion binding [GO:0005509]; lipid binding [GO:0008289]
283316	Q9NR16	C163B_HUMAN	reviewed	Scavenger receptor cysteine-rich type 1 protein M160 (CD163 antigen-like 1) (CD antigen CD163b)	CD163L1 CD163B M160 UNQ6434/PRO23202	Homo sapiens (Human)	1453		external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]	scavenger receptor activity [GO:0005044]
51311	Q9NR97	TLR8_HUMAN	reviewed	Toll-like receptor 8 (CD antigen CD288)	TLR8 UNQ249/PRO286	Homo sapiens (Human)	1041	cellular response to mechanical stimulus [GO:0071260]; defense response to virus [GO:0051607]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; immune response [GO:0006955]; immunoglobulin mediated immune response [GO:0016064]; innate immune response [GO:0045087]; microglial cell activation [GO:0001774]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of interleukin-12 secretion [GO:2001183]; positive regulation of innate immune response [GO:0045089]; positive regulation of interferon-alpha biosynthetic process [GO:0045356]; positive regulation of interferon-beta biosynthetic process [GO:0045359]; positive regulation of interferon-gamma biosynthetic process [GO:0045078]; positive regulation of interleukin-1 beta secretion [GO:0050718]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of interleukin-8 biosynthetic process [GO:0045416]; regulation of protein phosphorylation [GO:0001932]; response to virus [GO:0009615]; toll-like receptor 8 signaling pathway [GO:0034158]; toll-like receptor 9 signaling pathway [GO:0034162]; toll-like receptor signaling pathway [GO:0002224]	endolysosome membrane [GO:0036020]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; drug binding [GO:0008144]; identical protein binding [GO:0042802]; pattern recognition receptor activity [GO:0038187]; RNA binding [GO:0003723]; signaling receptor activity [GO:0038023]; single-stranded RNA binding [GO:0003727]; transmembrane signaling receptor activity [GO:0004888]
56034	Q9NRA1	PDGFC_HUMAN	reviewed	"Platelet-derived growth factor C (PDGF-C) (Fallotein) (Spinal cord-derived growth factor) (SCDGF) (VEGF-E) [Cleaved into: Platelet-derived growth factor C, latent form (PDGFC latent form); Platelet-derived growth factor C, receptor-binding form (PDGFC receptor-binding form)]"	PDGFC SCDGF UNQ174/PRO200	Homo sapiens (Human)	345	activation of transmembrane receptor protein tyrosine kinase activity [GO:0007171]; animal organ morphogenesis [GO:0009887]; bone development [GO:0060348]; cellular response to amino acid stimulus [GO:0071230]; central nervous system development [GO:0007417]; digestive tract development [GO:0048565]; embryonic organ development [GO:0048568]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of cell division [GO:0051781]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein autophosphorylation [GO:0031954]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]	cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	growth factor activity [GO:0008083]; growth factor receptor binding [GO:0070851]; platelet-derived growth factor receptor binding [GO:0005161]; protein homodimerization activity [GO:0042803]
50506	Q9NRD8	DUOX2_HUMAN	reviewed	Dual oxidase 2 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 2) (Long NOX 2) (NADH/NADPH thyroid oxidase p138-tox) (NADPH oxidase/peroxidase DUOX2) (NADPH thyroid oxidase 2) (Thyroid oxidase 2) (p138 thyroid oxidase)	DUOX2 LNOX2 THOX2	Homo sapiens (Human)	1548	cuticle development [GO:0042335]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; hormone biosynthetic process [GO:0042446]; hydrogen peroxide biosynthetic process [GO:0050665]; hydrogen peroxide catabolic process [GO:0042744]; oxidation-reduction process [GO:0055114]; positive regulation of cell motility [GO:2000147]; positive regulation of wound healing [GO:0090303]; response to cAMP [GO:0051591]; response to oxidative stress [GO:0006979]; response to virus [GO:0009615]; superoxide anion generation [GO:0042554]; thyroid hormone generation [GO:0006590]	apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; cell leading edge [GO:0031252]; cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; NADPH oxidase complex [GO:0043020]; plasma membrane [GO:0005886]	calcium ion binding [GO:0005509]; heme binding [GO:0020037]; NAD(P)H oxidase activity [GO:0016174]; peroxidase activity [GO:0004601]; superoxide-generating NADPH oxidase activity [GO:0016175]
53905	Q9NRD9	DUOX1_HUMAN	reviewed	Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 1) (Long NOX 1) (NADPH thyroid oxidase 1) (Thyroid oxidase 1)	DUOX1 DUOX LNOX1 THOX1	Homo sapiens (Human)	1551	cuticle development [GO:0042335]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; hormone biosynthetic process [GO:0042446]; hydrogen peroxide biosynthetic process [GO:0050665]; hydrogen peroxide catabolic process [GO:0042744]; oxidation-reduction process [GO:0055114]; positive regulation of cell motility [GO:2000147]; positive regulation of wound healing [GO:0090303]; response to cAMP [GO:0051591]; response to oxidative stress [GO:0006979]; superoxide anion generation [GO:0042554]; thyroid hormone generation [GO:0006590]	apical plasma membrane [GO:0016324]; cell leading edge [GO:0031252]; cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; NADPH oxidase complex [GO:0043020]; plasma membrane [GO:0005886]	calcium ion binding [GO:0005509]; heme binding [GO:0020037]; NAD(P)H oxidase activity [GO:0016174]; NADP binding [GO:0050661]; peroxidase activity [GO:0004601]; superoxide-generating NADPH oxidase activity [GO:0016175]
55540	Q9NRM6	I17RB_HUMAN	reviewed	Interleukin-17 receptor B (IL-17 receptor B) (IL-17RB) (Cytokine receptor-like 4) (IL-17 receptor homolog 1) (IL-17Rh1) (IL17Rh1) (Interleukin-17B receptor) (IL-17B receptor)	IL17RB CRL4 EVI27 IL17BR UNQ2501/PRO19612	Homo sapiens (Human)	502	defense response [GO:0006952]; interleukin-17-mediated signaling pathway [GO:0097400]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-13 secretion [GO:2000667]; positive regulation of interleukin-5 secretion [GO:2000664]; regulation of cell growth [GO:0001558]	cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytokine receptor activity [GO:0004896]; interleukin-17 receptor activity [GO:0030368]
55867	Q9NSA0	S22AB_HUMAN	reviewed	Solute carrier family 22 member 11 (Organic anion transporter 4)	SLC22A11 OAT4	Homo sapiens (Human)	550	organic anion transport [GO:0015711]; urate metabolic process [GO:0046415]	apical plasma membrane [GO:0016324]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	inorganic anion exchanger activity [GO:0005452]; organic anion transmembrane transporter activity [GO:0008514]; sodium-independent organic anion transmembrane transporter activity [GO:0015347]
